latin,dhivehi
Dhonna machine egge dhoruge reflection in rape ge heki,ދޮންނަމެޝިނެއްގެ ދޮރުގެ ރިފްލެކްޝަނުން ރޭޕްގެ ހެކި ލިބި، ޖަލަށް
gellumuge badhalu dheyn hukum koffi,ކޭޕާކްގެ އެޕާޓްމެންޓެއް ހަވާލުކޮށް، ގެއްލުމުގެ ބަދަލު ދޭން ހުކުމްކޮށްފި
75 percent akee online viyafaari!,ބީއެމްއެލުގެ ކާޑުތަކުން ކުރާ ބޭރުގެ ވިޔަފާރިތަކަށް މަހަކު 45 މިލިއަން ޑޮލަރު، 75 ޕަސެންޓަކީ އޮންލައިން ވިޔަފާރި!
Beyhah Thailand aai UAE ah fonuvan fashaane dhuvaheh adhi neyngey!,ބޭހަށް ތައިލެންޑާއި ޔޫއޭއީ އަށް ފޮނުވަން ފަށާނެ ދުވަހެއް އަދި ނޭނގޭ!
Accident ga aniyaavi meehaa ge haalu stable,އެކްސިޑެންޓުގައި އަނިޔާވި މީހާގެ ހާލު ސްޓޭބަލް
Dhenava match gai Lanka athun ves zuvaan volley team bali vejje,ދެވަނަ މެޗުގައި ލަންކާ އަތުން ވެސް ޒުވާން ވޮލީ ޓީމު ބަލިވެއްޖެ
Dhivehi masdhoanyakah anekkaa ves India ge sifainge bayaku arai biru dhekki massala fenmathi vejje!,ރާއްޖޭގެ މަސްދޯންޏަކަށް އަނެއްކާ ވެސް އިންޑިއާގެ ކޯސްޓްގާޑުގެ ބަޔަކު އަރައި ބިރުދެއްކި މައްސަލައެއް ފެންމަތިވެއްޖެ
Poster harukuran pavement ah jahaa holhi thah nagaanan: City council,ޕޯސްޓަރު ހަރުކުރަން ޕޭވްމަންޓަށް ޖަހާ ހޮޅިތައް ނަގާނަން: ސިޓީ ކައުންސިލް
Kuri kameh bune nudhevey sarukaaru hurihaa muvazzafun vaki kuraakan: Musk,ވަޒީފާގެ ޒިންމާ އަދާކުރި މިންވަރު ބުނެ ނުދެވޭ ސަރުކާރު ހުރިހާ މުވައްޒަފުން ވަކިކުރާނަން: މަސްކް
Governor lafaa kuravvanee mi mahu rangalhu vaane kamah!,މިދިޔަ މަހުގެ ރިޒާވްގައި ހުރީ 45 މިލިއަން ޑޮލަރު، ގަވަރުނަރު ލަފާކުރައްވަނީ މި މަހު ރަނގަޅުވާނެ ކަަމަށް
Raees ah India inn hoonu maruhabaa eh,ރައީސަށް އިންޑިއާ އިން ހޫނު މަރުހަބާއެއް
Currency Swap aa eku mi aharu dhakkan jehey dharani 15 billion ah,ކަރެންސީ ސްވޮޕާ އެކު މިއަހަރު ދައްކަން ޖެހޭ ދަރަނި 15 ބިލިއަނަށް
vaki kuraanan: Raees,ޝަރުއީ ނިޒާމަށް ނުފޫޒު ފޯރުވާ މީހަކު ސަރުކާރުގައި ހުރިނަމަ ވަކިކުރާނަން: ރައީސް
Dhivehi team hukuru duvahu en'buri annanee,ހަނގުރާމައިގެ ސަބަބުން މުބާރާތް ކެންސަލް، ދިވެހި ޓީމު ހުކުރު ދުވަހު އެނބުރި އަންނަނީ
Schedule flight ah vure bali meehu ufula iskandhey gothah Maldivian ge usoolu badhalu koffi,ޝެޑިއުލް ފްލައިޓަށްވުރެ ބަލި މީހުން އުފުލާ ދަތުރަށް އިސްކަންދޭ ގޮތަށް މޯލްޑިވިއަންގެ އުސޫލު ބަދަލުކޮށްފި
Furusathu dheefi nama gellunu kandu ves anburaa hoadhaanan: Muizzu,"ފުރުސަތު ދީފި ނަމަ ""ގެއްލުނު ކަނޑު"" ވެސް އަނބުރާ ހޯދާނަން: މުއިއްޒު"
Dhidhoo gai lonu ufahdhai Japan export kuranee,ދިއްދޫގައި ލޮނު އުފައްދައި ޖަޕާނަށް އެކްސްޕޯޓްކުރަނީ
Amir Khan ge aa film eh anna aharu ge December gai genes dhenee,އާމިރު ހާންގެ އާ ފިލްމެއް އަންނަ އަހަރުގެ ޑިސެމްބަރުގައި ގެނެސްދެނީ
World Bank Raajjeyge country manager ge dhauru fulhaa koffi,ވޯލްޑް ބޭންކުގެ ރާއްޖޭގެ ކަންޓްރީ މެނޭޖަރުގެ ދައުރު ފުޅާކޮށްފި
Ooredoo nation ultimate gaming festival hukuru dhuvahu bavvanee,އުރީދޫ ނޭޝަން އަލްޓިމޭޓް ގޭމިން ފެސްޓިވަލް ހުކުރު ދުވަހު ބާއްވަނީ
1 vana'igai Hood aai Isse Asian Championship ge anneh burah!,އެއްވަނައިގައި ހޫދާއި އިއްސެ އޭޝިއަން ޗެމްޕިއަންޝިޕްގެ އަނެއް ބުރަށް
Thoddoo gai kolhigandehgai jehunu kudhinthakeh STELCO muvazzafun salaamaiy kohdheefi,ތޮއްޑޫގައި ކޮޅިގަނޑެއްގައި ޖެހުނު ކުދިންތަކެއް ސްޓެލްކޯގެ މުވައްޒަފުން ސަލާމަތްކޮށްދީފި
Bandidhoo gai BML inn ATM ge hidhumaiy fashaifi,ބަނޑިދޫގައި ބީއެމްއެލް އިން އޭޓީއެމްގެ ހިދުމަތް ފަށައިފި
Shiman aai Mahzoom ah kuranee siyaasee dhauvaaeh: Fayyaz,ޝިމަން އާއި މަހްޒޫމަށް ކުރަނީ ސިޔާސީ ދައުވާއެއް: ފައްޔާޒް
Raajjeygai vazeefaa adhaa kuraa India meehunge musaara fonuvumugai dhathi thakeh!,ރާއްޖޭގައި ވަޒީފާ އަދާކުރާ އިންޑިއާ މީހުންގެ މުސާރަ ފޮނުވުމުގައި ދަތިތަކެއް!
Musk ah thaaeedhu dhekkumah Trump Tesla eh ganefi,މަސްކަށް ތާއީދު ދެއްކުމަށް ޓްރަމްޕް ޓެސްލާއެއް ގަނެފި
Meehege gayah kula fata elhi mahsala: gaanoonuge therein hallu hoadhan HRCM in govaalaifi,ވައްކަމުގެ ތުހުމަތުގައި މީހެއްގެ ގަޔަށް ކުލަ އެޅި މައްސަލަ: ގާނޫނުގެ ތެރެއިން ހައްލު ހޯދަން އެޗްއާރުސީއެމުން ގޮވާލައިފި
Molhu nuvumun Haaland aai Guardiola ah goas kuree referee,މޮޅު ނުވުމުން ހާލަންޑާއި ގާޑިއޯލާ އަށް ގޯސް ވީ ރެފްރީ
Media ge dhaairaa in Professional and Career Women Award Mihaaru ge Asima ah,"މީޑިއާގެ ދާއިރާއިން ޕްރޮފެޝަނަލް އެންޑް ކެރިއާ ވުމަން އެވޯޑު ""މިހާރު""ގެ އާސިމާ އަށް"
2 kotari 6000 ah,4000 ފްލެޓުގެ ދާއިމީ ލިސްޓު ނެރެފި، ތިން ކޮޓަރި 8،000ރ އަށް، ދެ ކޮޓަރި 6،000ރ. އަށް
Israel in Iran ge 3 hospitalakah hamalaa dheefi,އިޒްރޭލުން އިރާނުގެ ތިން ހޮސްޕިޓަލަކަށް ހަމަލާ ދީފި
Social media gai hingaa jareemaathah huttuvumah mashvaraa kuran beyvvi committee fuluhun edhigen sirru koffi,ސޯޝަލް މީޑިއާގައި ހިންގާ ޖަރީމާތައް ހުއްޓުވުމަށް މަޝްވަރާކުރަން ބޭއްވި ކޮމިޓީ ފުލުހުން އެދިގެން ސިއްރުކޮށްފި
Masverinnah nudhevi huri faisaa maadhamaa dheyne: Mifco,މަސްވެރިންނަށް ނުދެވި ހުރި ފައިސާ މާދަމާ ދޭނެ: މިފްކޯ
rehabilitate kuran anna hafthaagai fashanee,ކުށުގެ ވެށީގައި 200 އެއްހާ ކުދިން، ރިހެބިލިޓޭޓް ކުރަން އަންނަ ހަފުތާގައި ފަށަނީ
Bashar ge bas: Syriah othee terørīstunge aiydhashugai,ބައްޝާރުގެ ބަސް: ސީރިއާ އޮތީ ޓެރަރިސްޓުންގެ އަތްދަށުގައި
eiy emme bodu zinmaa: Raees,ރާއްޖޭގެ މިނިވަންކަން ޔަގީންވާ ވަރު ކުރާނަން، އެއީ އެންމެ ބޮޑު ޒިންމާ: ރައީސް
college/university dharivarunnah hiley dhathuru kureveyne,ބަސް ދަތުރުތައް 24 ގަޑިއިރަށް، ކޮލެޖު/ޔުނިވާސިޓީ ދަރިވަރުންނަށް ހިލޭ ދަތުރުކުރެވޭ
sihhee hidhumaiythah huttidhaane kamuge biru eba oiy: Inthihaabee Raees ge Office,ސާމާނުތަކަށް އޯޑަރެއް ނުދޭ، ސިއްހީ ހިދުމަތްތައް ހުއްޓިދާނެ ކަމުގެ ބިރު އެބައޮތް: މުއިއްޒުގެ އޮފީސް
Airport ah furan dhiya tourist egge athun vazan thakeh fenigen hayyaru koffi,އެއާޕޯޓަށް ފުރަން ދިޔަ ޓޫރިސްޓެއްގެ އަތުން ވަޒަންތަކެއް ފެނިގެން ހައްޔަރުކޮށްފި
Uthuruge 12 rasheggai Green House hadhaifi,އުތުރުގެ 12 ރަށެއްގައި ގްރީންހައުސް ހަދައިފި
Ministry thakah kiyaane dhivehi nan thakeh hama jassaifi,މިނިސްޓްރީތަކަށް ކިޔާނެ ދިވެހި ނަންތަކެއް ހަމަޖައްސައިފި
Muassasaathakah 8 team akaa eku maadhamaa office thakah dhaan fashanee,ކުންފުނިތަކަށް ހަތް ޓީމެއް، މުއައްސަސާތަކަށް އަށް ޓީމަކާ އެކު މާދަމާ އޮފީސްތަކަށް ދާން ފަށަނީ
Million eh varu kuda vaa gothah Vinares ge interest kudakoffi,މިލިއަަނެެއް ވަރު ކުޑަވާ ގޮތަށް ވިނަރެސްގެ އިންޓަރެސްޓް ކުޑަކޮށްފި
ehen rahrasha challenge dheyne,މާލޭން ވަރުގަދަ ޓީމެއް ނެރެ، އެހެން ރަށްރަށަށް ޗެލެންޖް ދޭނެ
Tuchel England gaumee team aa havaalu vany,ޓުޗެލް އިންގްލެންޑް ގައުމީ ޓީމާ ހަވާލުވަނީ
Umurun dhuvasvee aabaadhee ithuruvaathee thayyaaru vaan jehey: Minister,އުމުރުން ދުވަސްވީ އާބާދީ އިތުރުވަމުންދާތީ ތައްޔާރުވާން ޖެހޭ: މިނިސްޓަރު
Jamiyyaa thakaa gulhigen isravvehinnah eyecare ge health screening event eh,ޖަމިއްޔާތަކާ ގުޅިގެން އިސްރަށްވެހިންނަށް އައިކެއާގެ ހެލްތު ސްކްރީނިން އިވެންޓެއް
Mihaaru emme mashooru make-up nukuraa meeheh neiy,މިހާރު އެންމެ މަޝްހޫރު މޭކަޕް ނުކުރާ މީހެއް ނެތް
Virgin group ge supervision agentakah Voyages Maldives,ވާޖިން ގްރޫޕްގެ ސުޕަވިޝަން އެޖެންޓަކަށް ވޮޔޭޖަސް މޯލްޑިވްސް
Error: Request failed with status code 504 **********,"ID: 141533, Error: Request failed with status code 504 **********"
25-05-25 gai gai 59 kaiveni,25-5-25 ގައި 59 ކައިވެނި
Kuriah oiy thanugai ves Majilis idhaara in gavaidhaa hilaafu nuvaan MDP PG inn edhijje,ކުރިއަށް އޮތް ތަނުގައި ވެސް މަޖިލިހުގެ އިދާރާ އިން ގަވައިދާ ހިލާފު ނުވާން އެމްޑީޕީ ޕީޖީން އެދިއްޖެ
Financing for Development Conference ah Naibu Raees Spain ah,ފައިނޭންސިން ފޯ ޑިވެލޮޕްމަންޓް ކޮންފަރެންސަށް ނައިބު ރައީސް ސްޕެއިނަށް
Yamal gendhan PSG in 260 Million Dollar ge husha-helhumeh,ޔަމާލް ގެންދަން ޕީއެސްޖީން 260 މިލިއަން ޑޮލަރުގެ ހުށަހެޅުމެއް
PS ge magaamun Isthiufaa dhevvi Hinna Foreign Ministry ge Deputy minister akah,ޕީއެސްގެ މަގާމުން އިސްތިއުފާ ދެއްވި ހިންނާ ފޮރިން މިނިސްޓްރީ ޑެޕިއުޓީ މިނިސްޓަރަކަށް
HDh. Atoll Council ge gina bayaku in 9 lakka kharadhu kohgen Bangkok ah dhiya massala eh,ހދ. އަތޮޅު ކައުންސިލުން ނުވަ ލައްކަ ރުފިޔާ ހަރަދުކޮށްގެން ބެންކޮކަށް ދިޔަ މައްސަލައެއްގައި ފިޔަވަޅު އަޅަން އަންގައިފި
Verikamuge nizaam ah genna badhaleh adhi islaaheh nethi vote akah?!,ވެރިކަމުގެ ނިޒާމަށް ގެންނަ ބަދަލެއް އަދި އިސްލާހެއް ނެތި ވޯޓަކަށް!؟
Dhivehi safeeru ge faiykolhu India ge Raees ah aruvaifi,ދިވެހި ސަފީރުގެ ފަތްކޮޅު އިންޑިއާގެ ރައީސަށް އަރުވައިފި
Midhiya Aharu nimunee 14 billion ge deficit akaa eku,މިދިޔަ އަހަރު ނިމުނީ 14 ބިލިއަންގެ ޑެފިސިޓަކާ އެކު
Sharuthu hamavaa meehaku kurimathi nulumun MIFCO ah CEO eh hoadhan kuri iulaanu baathilu koffi,ޝަރުތު ހަމަވާ މީހަކު ކުރިމަތިނުލުމުން މިފްކޯ އަށް ސީއީއޯއެއް ހޯދަން ކުރި އިއުލާނު ބާތިލުކޮށްފި
Scam hingaa China ge 230 meehaku Lanka in hayyaru koffi,އޮންލައިން ސްކޭމް ހިންގާ ކަމުގެ ތުހުމަތަށް ޗައިނާގެ 230 މީހަކު ލަންކާއިން ހައްޔަރުކޮށްފި
Dhigurashu gai kothalhakah ehlaalaifi oiy thuhthu kujjaku kunigondun fenijje,ދިގުރަށުގައި ކޮތަޅަކަށް ލައި އެއްލާލާފައި އޮތް ތުއްތު ކުއްޖަކު ކުނިގޮނޑުން ފެނިއްޖެ
Furaalhu mahchah vettunu zuvaanaa othee ICU gai,ފުރާޅު މައްޗަށް ވެއްޓުނު ޒުވާނާ އޮތީ އައިސީޔޫގައި
Mihaaru badhige Fezu aa eku: Cashewnut chicken curry,މިހާރު ބަދިގެ ފެޒޫއާ އެކު: ކެޝޫނަޓް ޗިކަން ކަރީ
Majileehah haaziruvumuge furusathakah Mahaz ves edhijje,ޖޭއެސްސީ އުސޫލާ ހިލާފުވެފައިވާ ކަމަށް ވިދާޅުވެ، މަޖިލީހަށް ހާޒިރުވުމުގެ ފުރުސަތަކަށް މަހާޒު ވެސް އެދިއްޖެ
Kukulhu case egge veriyaku hoadhan iulaanu koffi,ކުކުޅު ކޭހެއްގެ ވެރިޔަކު ހޯދަން އިއުލާނުކޮށްފި
Airport gai ehcheh govai haalu serious vi meeha Male' genesfi,އެއާޕޯޓްގައި އެއްޗެއް ގޮވައި ހާލު ސީރިއަސްވި މީހާ މާލެ ގެނެސްފި
Firihen dharivaraku groom kuri anhen Teacher vazeefa in vaki koffi,ފިރިހެން ދަރިވަރަކު ގްރޫމްކުރި އަންހެން ޓީޗަރު ވަޒީފާއިން ވަކިކޮށްފި
Umurun 40 aharugai Ronaldo Nations league ufulaalaifi,އުމުރުން 40 އަހަރުގައި ރޮނާލްޑޯ ނޭޝަންސް ލީގު އުފުލާލައިފި
vaguthee amureh nerenudhin,ގެދޮރުވެރިޔާ ސްކީމްގެ ފްލެޓްގެ މައްސަލާގައި ބައެއް މީހުން ކޯޓަށް، ވަގުތީ އަމުރެއް ނެރެނުދިން
Kamala ah USA ge riyaasee ticket kashavaru vejje,ކަމަލާއަށް އެމެރިކާގެ ރިޔާސީ ޓިކެޓް ކަށަވަރުވެއްޖެ
Lanka meeha raajje ethere vaan huhdha nudhinee deport koffai vaathee: Immigration,ލަންކާ މީހާ ރާއްޖެ އެތެރެވާން ހުއްދަ ނުދިނީ ޑީޕޯޓްކޮށްފައިވާތީ: އިމިގްރޭޝަން
Miadhun feshigen Thailand ah dhaairu arrival card husha alhan jeheyne,މިއަދުން ފެށިގެން ތައިލެންޑަށް ދާއިރު އެރައިވަލް ކާޑު ހުށަހަޅަން ޖެހޭނެ
Jhanvi ge aa film bodu flop akah,ޖާންވީގެ އާ ފިލްމު ބޮޑު ފްލޮޕަކަށް
Gulhifalhuge ennme funn sarahadhdhu varah avahah hikkan fashaane: Minister,ގުޅިފަޅުގެ އެންމެ ފުން ސަރަހައްދު ވަރަށް އަވަހަށް ހިއްކަން ފަށާނެ: މިނިސްޓަރު
Aseerun badhalu kurumuge 2 vana maruhalaa nimijje,އަސީރުން ބަދަލުކުރުމުގެ ދެވަނަ މަރުހަލާ ނިމިއްޖެ
Kapil ge cafe eh Canada gai hulhuvaifi,ކަޕިލްގެ ކެފޭއެއް ކެނެޑާގައި ހުޅުވައިފި
Hadhdhufahanaelhi Hindhu jamaathaa gulhun India ge civil servant innah hudhdha koffi,ހައްދުފަހަނައެޅި ހިންދޫ ޖަމާއަތާ ގުޅުން އިންޑިއާގެ ސިވިލް ސާވަންޓުންނަށް ހުއްދަކޮށްފި
Naifaru Quran learning center ah Waqf fund inn ehee vanee,ނައިފަރު ގުރުއާން ލާނިން ސެންޓަރަށް ވަގުފު ފަންޑުން އެހީވަނީ
Aaa Mayor huvaa kurevvun Hoama dhuvahuge rey Dharubaarugeygai!,އާ މޭޔަރު ހުވާކުރެއްވުން ހޯމަ ދުވަހުގެ ރޭ ދަރުބާރުގޭގައި
Vidhi vidhin ge Real bali kurumakee naadhiru kamaeh: Guardiola,ވިދިވިދިގެން ރެއާލް ބަލިކުރުމަކީ ނާދިރު ކަމެއް: ގާޑިއޯލާ
Dhunfaiy vikkan beynunvan license hoadhan health ministry in 3 mas dhuvas,ދުންފަތް ވިއްކަން ބޭނުންވާ ލައިސަންސް ހޯދަން ހެލްތު މިނިސްޓްރީން ތިން މަސް ދުވަސް ދީފި
Iran ge hamalaa thah airport aai asakaree marukazu thakah,އިޒްރޭލްގެ އައްޑަނަތައް ފޫއަޅުވާލައި، އިރާނުގެ ހަމަލާތައް އެއާޕޯޓާއި އަސްކަރީ މަރުކަޒުތަކަށް
Raheenukuri massalagai bandhun dhookolli meehaa alun hayyaru koffi,ރަހީނު ކުރި މައްސަލާގައި ބަންދުން ދޫކޮށްލި މީހާ އަލުން ހައްޔަރު ކޮށްފި
NSPA ah aa imaaraatheh hoadhan hedhi ebbasvun baathil kuran nimmaifi,އެންސްޕާއަށް އާ އިމާރާތެއް ހޯދަން ހެދި އެއްބަސްވުން ބާތިލްކުރަން ނިންމައިފި
Anekka ves Immigration raid eh: Hedhikaa matheegai huree mundu alhaafai!,އަނެއްކާވެސް ރެއިޑެއް: ހެދިކާ މަތީގައި ހުރީ މުންޑު އަޅާފައި!
Morocco molhu vumun Ivory Coast salaamaiy vejje,މޮރޮކޯ މޮޅުވުމުން އައިވަރީ ކޯސްޓް ސަލާމަތްވެއްޖެ
Male' ge 4 thaneh faaskoh gavaaidhaa hilaafah ulhey 16 bidheyseen athulaigenfi,މާލޭގެ ހަތަރު ތަނެއް ފާސްކޮށް ގަވައިދާ ހިލާފަށް އުޅޭ 16 ބިދޭސީން އަތުލައިގެންފި
Gaza in karantu kandaalumuge natheejaa varah goas vedhaane: UN,ޣައްޒާއިން ކަރަންޓު ކަނޑާލުމުގެ ނަތީޖާ ވަރަށް ގޯސްވެދާނެ: އދ
Shanaan ge goal in Raajje molhu vaan dhanikoh Pakistan in huttuvaifi,ޝަނާންގެ ގޯލުން ރާއްޖެ މޮޅުވާން ދަނިކޮށް ޕާކިސްތާނުން ހުއްޓުވައިފި
16 aharun dhashuge sarahaddhee mubaaraathun Raajje furathama faharah semi ah,16 އަހަރުން ދަށުގެ ސަރަހައްދީ މުބާރާތުން ރާއްޖެ ފުރަތަމަ ފަހަރަށް ސެމީ އަށް
IGMH ge 5 department akun reygandu OPD fashaifi,އައިޖީއެމްއެޗްގެ ފަސް ޑިޕާޓްމަންޓަކުން ރޭގަނޑު އޯޕީޑީ ފަށައިފި
Thafaasahisaabu aammu nukuranee mauloomaathu thah final kuraathee,ތަފާސްހިސާބު އާންމު ނުކުރަނީ މައުލޫމާތުތައް ފައިނަލް ކުރާތީ
Laee kurehi  noohuge beyrugandu,ލައީ ކުރެހި ނޫހުގެ ބޭރުގަނޑު
Baeh vazeerunnah ruhun nudheyn ulheythee sarukaaruge memberun jalsaa huttuvaifi,ބައެއް ވަޒީރުންނަށް ރުހުން ނުދޭން އުޅޭތީ ސަރުކާރު މެންބަރުން ޖަލްސާ ހުއްޓުވައިފި
Lewandowski ah 100,ބާސާގެ ކުޅުމާމެދު ކޯޗު ޒަވީ އުފަލުން، ލެވަންޑޯސްކީ އަށް 100
Magumatheegai salaan jahaa adhi drug vabaagai ulhey 47 meehun faruvaa ah gengosfi,މަގުމަތީގައި ސަލާން ޖަހާ އަދި ޑްރަގްގެ ވަބާގައި އުޅޭ 47 މީހުން ފަރުވާ އަށް ގެންގޮސްފި
Starlink ah license libunu dhekunu asia ge furathama gaumakah Raajje vejje,ސްޓާލިންކަށް ލައިސަންސް ލިބުނު ދެކުނު އޭޝިއާގެ ފުރަތަމަ ގައުމަކަށް ރާއްޖެ ވެއްޖެ
Ibu ge machah thahugeegeh hingan ulhenee siyaasee gothun biru dhakkan: MDP,އިބޫގެ މައްޗަށް ތަހުގީގެއް ހިންގަން އުޅެނީ ސިޔާސީ ގޮތުން ބިރު ދައްކަން: އެމްޑީޕީ
Kannelee ge ennme kuda agu kanda alhan Candidatun vaudhuvaathee kanboduvun,ކަންނެލީގެ އެންމެ ކުޑަ އަގު ކަނޑައަޅަން ކެންޑިޑޭޓުން ވައުދުވާތީ ކަންބޮޑުވުން ފާޅުކޮށްފި
dhen dhan'dun nufenidhaane?,ދަގަނޑޭގެ ކަކޫ އޮޕަރޭޝަންކުރަނީ، ދެން ދަނޑުން ނުފެނިދާނެ؟
Bassam ge dhevana vakeel ves massala dhookollaifi,ބައްސާމްގެ ދެވަނަ ވަކީލު ވެސް މައްސަލަ ދޫކޮށްލައިފި
Thauleemee dhaairaagai 40 aharu hidhumaiy kurevvumah fahu Aisthu retire kuravvaifi,ތައުލީމީ ދާއިރާގައި 40 އަހަރު ހިދުމަތް ކުރެއްވުމަށް ފަހު އައިސްތު ރިޓަޔާ ކުރައްވައިފި
